,Trading_Date,Open_Price,Higest_Price,Lowest_Price,Close_Price,Trading_Volume,Ticker,ID
0,03/27/14,568,568,552.92,558.46,13100,GOOG,GOOG2014-03-27
1,03/28/14,561.2,566.43,558.67,559.99,41100,GOOG,GOOG2014-03-28
2,03/31/14,566.89,567,556.93,556.97,10800,GOOG,GOOG2014-03-31
3,04/01/14,558.71,568.45,558.71,567.16,7900,GOOG,GOOG2014-04-01
4,04/02/14,565.106,604.83,562.19,567,146700,GOOG,GOOG2014-04-02
5,04/03/14,569.85,587.28,564.13,569.74,5085200,GOOG,GOOG2014-04-03
6,04/04/14,574.65,577.77,543,543.14,6351900,GOOG,GOOG2014-04-04
7,04/07/14,540.74,548.48,527.15,538.15,4389600,GOOG,GOOG2014-04-07
8,04/08/14,542.6,555,541.61,554.9,3142600,GOOG,GOOG2014-04-08
9,04/09/14,559.62,565.37,552.95,564.14,3321700,GOOG,GOOG2014-04-09
10,04/10/14,565,565,539.9,540.95,4025800,GOOG,GOOG2014-04-10
11,04/11/14,532.55,540,526.53,530.6,3914100,GOOG,GOOG2014-04-11
12,04/14/14,538.25,544.1,529.561,532.52,2568000,GOOG,GOOG2014-04-14
13,04/15/14,536.82,538.45,518.4601,536.44,3844500,GOOG,GOOG2014-04-15
14,04/16/14,543,557,540,556.54,4879900,GOOG,GOOG2014-04-16
15,04/17/14,548.81,549.5,531.15,536.1,6790900,GOOG,GOOG2014-04-17
16,04/21/14,536.1,536.7,525.6,528.62,2559700,GOOG,GOOG2014-04-21
17,04/22/14,528.64,537.23,527.51,534.81,2358900,GOOG,GOOG2014-04-22
18,04/23/14,533.79,533.87,526.25,526.94,2046700,GOOG,GOOG2014-04-23
19,04/24/14,530.07,531.65,522.12,525.16,1878000,GOOG,GOOG2014-04-24
20,04/25/14,522.51,524.7,515.42,516.18,2094600,GOOG,GOOG2014-04-25
21,04/28/14,517.18,518.6,502.8,517.15,3326400,GOOG,GOOG2014-04-28
22,04/29/14,516.9,529.46,516.32,527.7,2691700,GOOG,GOOG2014-04-29
23,04/30/14,527.6,528,522.52,526.66,1746400,GOOG,GOOG2014-04-30
24,05/01/14,527.11,532.93,523.88,531.35,1900300,GOOG,GOOG2014-05-01
25,05/02/14,533.76,533.9999,525.61,527.93,1683900,GOOG,GOOG2014-05-02
26,05/05/14,524.82,528.9,521.32,527.81,1021300,GOOG,GOOG2014-05-05
27,05/06/14,525.23,526.81,515.06,515.14,1684400,GOOG,GOOG2014-05-06
28,05/07/14,515.79,516.68,503.3,509.96,3215500,GOOG,GOOG2014-05-07
29,05/08/14,508.46,517.23,506.45,511,2015800,GOOG,GOOG2014-05-08
30,05/09/14,510.75,519.9,504.2,518.73,2432800,GOOG,GOOG2014-05-09
31,05/12/14,523.51,530.19,519.01,529.92,1907300,GOOG,GOOG2014-05-12
32,05/13/14,530.89,536.07,529.51,533.09,1648900,GOOG,GOOG2014-05-13
33,05/14/14,533,533,525.29,526.65,1188500,GOOG,GOOG2014-05-14
34,05/15/14,525.7,525.87,517.42,519.98,1699700,GOOG,GOOG2014-05-15
35,05/16/14,521.39,521.8,515.44,520.63,1481200,GOOG,GOOG2014-05-16
