,Trading_Date,Open_Price,Higest_Price,Lowest_Price,Close_Price,Trading_Volume,Ticker,ID
0,2014-03-27,568.0000,568.0000,552.9200,558.4600,13100,GOOG,GOOG2014-03-27
1,2014-03-28,561.2000,566.4300,558.6700,559.9900,41100,GOOG,GOOG2014-03-28
2,2014-03-31,566.8900,567.0000,556.9300,556.9700,10800,GOOG,GOOG2014-03-31
3,2014-04-01,558.7100,568.4500,558.7100,567.1600,7900,GOOG,GOOG2014-04-01
4,2014-04-02,565.1060,604.8300,562.1900,567.0000,146700,GOOG,GOOG2014-04-02
5,2014-04-03,569.8500,587.2800,564.1300,569.7400,5085200,GOOG,GOOG2014-04-03
6,2014-04-04,574.6500,577.7700,543.0000,543.1400,6351900,GOOG,GOOG2014-04-04
7,2014-04-07,540.7400,548.4800,527.1500,538.1500,4389600,GOOG,GOOG2014-04-07
8,2014-04-08,542.6000,555.0000,541.6100,554.9000,3142600,GOOG,GOOG2014-04-08
9,2014-04-09,559.6200,565.3700,552.9500,564.1400,3321700,GOOG,GOOG2014-04-09
10,2014-04-10,565.0000,565.0000,539.9000,540.9500,4025800,GOOG,GOOG2014-04-10
11,2014-04-11,532.5500,540.0000,526.5300,530.6000,3914100,GOOG,GOOG2014-04-11
12,2014-04-14,538.2500,544.1000,529.5610,532.5200,2568000,GOOG,GOOG2014-04-14
13,2014-04-15,536.8200,538.4500,518.4601,536.4400,3844500,GOOG,GOOG2014-04-15
14,2014-04-16,543.0000,557.0000,540.0000,556.5400,4879900,GOOG,GOOG2014-04-16
15,2014-04-17,548.8100,549.5000,531.1500,536.1000,6790900,GOOG,GOOG2014-04-17
16,2014-04-21,536.1000,536.7000,525.6000,528.6200,2559700,GOOG,GOOG2014-04-21
17,2014-04-22,528.6400,537.2300,527.5100,534.8100,2358900,GOOG,GOOG2014-04-22
18,2014-04-23,533.7900,533.8700,526.2500,526.9400,2046700,GOOG,GOOG2014-04-23
19,2014-04-24,530.0700,531.6500,522.1200,525.1600,1878000,GOOG,GOOG2014-04-24
20,2014-04-25,522.5100,524.7000,515.4200,516.1800,2094600,GOOG,GOOG2014-04-25
21,2014-04-28,517.1800,518.6000,502.8000,517.1500,3326400,GOOG,GOOG2014-04-28
22,2014-04-29,516.9000,529.4600,516.3200,527.7000,2691700,GOOG,GOOG2014-04-29
23,2014-04-30,527.6000,528.0000,522.5200,526.6600,1746400,GOOG,GOOG2014-04-30
24,2014-05-01,527.1100,532.9300,523.8800,531.3500,1900300,GOOG,GOOG2014-05-01
25,2014-05-02,533.7600,533.9999,525.6100,527.9300,1683900,GOOG,GOOG2014-05-02
26,2014-05-05,524.8200,528.9000,521.3200,527.8100,1021300,GOOG,GOOG2014-05-05
27,2014-05-06,525.2300,526.8100,515.0600,515.1400,1684400,GOOG,GOOG2014-05-06
28,2014-05-07,515.7900,516.6800,503.3000,509.9600,3215500,GOOG,GOOG2014-05-07
29,2014-05-08,508.4600,517.2300,506.4500,511.0000,2015800,GOOG,GOOG2014-05-08
