Date,AMZN,WMT
01/02/98,59.5,39.38
01/05/98,57,39.75
01/06/98,58.06,40
01/07/98,57.38,39.88
01/08/98,55.38,39.31
01/09/98,51.13,38.19
01/12/98,51.63,39.5
01/13/98,55.75,39.5
01/14/98,58.5,39.69
01/15/98,59.44,39.94
01/16/98,57.5,40.13
01/20/98,59.44,41.75
01/21/98,60.88,40.69
01/22/98,61.63,40
01/23/98,59.25,39.5
01/26/98,57.75,38.69
01/27/98,57,39.31
01/28/98,57.25,40.63
01/29/98,59.5,40.19
01/30/98,59,39.81
02/02/98,62.38,40.81
02/03/98,61.81,42
02/04/98,60.75,43
02/05/98,59.25,42.81
02/06/98,58.88,43.06
02/09/98,58.25,42.5
02/10/98,63.63,43.13
02/11/98,63.5,42.94
02/12/98,63.13,44.69
02/13/98,62.25,44.19
02/17/98,61.75,44.75
02/18/98,60.88,45.5
02/19/98,62.75,45.25
02/20/98,63.25,45.38
02/23/98,64.88,46.19
02/24/98,64.88,46.88
02/25/98,65.88,47.69
02/26/98,72.75,47.25
02/27/98,77,46.31
03/02/98,76.25,46.88
03/03/98,71.75,48.44
03/04/98,73.44,48.44
03/05/98,75,48.88
03/06/98,76.75,50.19
03/09/98,83.5,51.31
03/10/98,83.11,51
03/11/98,79.63,50.94
03/12/98,78.5,51.31
03/13/98,78.69,51.38
03/16/98,79,51.5
03/17/98,79.88,51.44
03/18/98,85.31,50.75
03/19/98,84,50.38
03/20/98,84,50.06
03/23/98,83.81,49.69
03/24/98,84.25,50.5
03/25/98,81.69,49.63
03/26/98,82.75,49.75
03/27/98,85,49.94
03/30/98,85.88,50.44
03/31/98,85.53,50.81
04/01/98,90.13,51.5
04/02/98,95.06,50.81
04/03/98,93,51.5
04/06/98,88.63,49.63
04/07/98,86,50.75
04/08/98,88.63,50
04/09/98,95.25,50.81
04/13/98,94.31,51.19
04/14/98,97.19,53.25
04/15/98,96.13,53.88
04/16/98,98.5,52.56
04/17/98,94.88,53.25
04/20/98,94.25,52.25
04/21/98,93.06,52.31
04/22/98,87.25,52.31
04/23/98,81,51.38
04/24/98,84.88,50.25
04/27/98,82.75,49.56
04/28/98,95.63,49.13
04/29/98,95.5,49.31
04/30/98,91.75,50.56
05/01/98,94.5,50.63
05/04/98,95.25,50.88
05/05/98,93.72,50.5
05/06/98,90.38,49.94
05/07/98,91,50.63
05/08/98,92.38,50.5
05/11/98,86.88,51.13
05/12/98,91.38,52.75
05/13/98,92.88,54.13
05/14/98,91.56,54.19
05/15/98,89.63,54.06
05/18/98,88.06,54.38
05/19/98,90.38,54.31
05/20/98,88.63,54.88
05/21/98,88.75,55.75
05/22/98,86,55.5
05/26/98,81.88,53.75
05/27/98,86.63,54.38
05/28/98,85.94,55.44
05/29/98,88.13,55.13
06/01/98,85.63,56.5
06/02/98,43.69,56.94
06/03/98,42.25,56
06/04/98,43.88,56.63
06/05/98,44.25,57.81
06/08/98,46.25,58
06/09/98,51.25,58.06
06/10/98,51.25,59.25
06/11/98,62.5,59
06/12/98,61,58.81
06/15/98,65.75,56.56
06/16/98,73.63,57.38
06/17/98,79,58.44
06/18/98,72.13,58
06/19/98,75.81,57.88
06/22/98,81.38,57.31
06/23/98,92.69,59.19
06/24/98,99.81,60.13
06/25/98,99.06,60
06/26/98,94.25,59.69
06/29/98,98.75,62.06
06/30/98,99.75,60.75
07/01/98,114.1,60.5
07/02/98,124,60.69
07/06/98,139.5,61.25
07/07/98,122.1,61.13
07/08/98,111.6,62.81
07/09/98,105.5,63.13
07/10/98,99.5,64.19
07/13/98,107.6,64.06
07/14/98,115,66.38
07/15/98,112.5,65.88
07/16/98,112.5,68.75
07/17/98,119.8,69
07/20/98,137.5,68.81
07/21/98,132.1,68
07/22/98,134,67.06
07/23/98,127.6,63.5
07/24/98,124.3,63.81
07/27/98,125.6,63.88
07/28/98,118.9,63.44
07/29/98,107.8,60.88
07/30/98,113.8,63.63
07/31/98,110.9,63.13
08/03/98,108.3,61.63
08/04/98,109.9,58.38
08/05/98,106.2,61
08/06/98,109.5,64
08/07/98,116,62.88
08/10/98,121.6,63.06
08/11/98,124,64
08/12/98,130.4,65.75
08/13/98,127.5,64.31
08/14/98,122.8,62.38
08/17/98,119.7,62.81
08/18/98,128.7,64.25
08/19/98,128.8,64
08/20/98,129.1,64.75
08/21/98,129.7,65.19
08/24/98,134.8,67.25
08/25/98,131.6,68.5
08/26/98,127.3,69.06
08/27/98,119,67.88
08/28/98,105.9,65.38
08/31/98,83.75,59
09/01/98,79.95,61.75
09/02/98,87.88,59.94
09/03/98,85.88,60.13
09/04/98,86.25,58.5
09/08/98,92.25,62.75
09/09/98,84.5,61.06
09/10/98,79.63,58.44
09/11/98,76.06,60.63
09/14/98,73.69,61.19
09/15/98,73,62.5
09/16/98,84.5,62.94
09/17/98,77,60.88
09/18/98,79.69,60.56
09/21/98,85.5,60.69
09/22/98,88.19,62.38
09/23/98,105.1,64.5
09/24/98,102.1,62.81
09/25/98,109.3,61.94
09/28/98,115.6,61.44
09/29/98,113.1,58.13
09/30/98,111.6,56.75
10/01/98,102.6,53.13
10/02/98,110.3,55.44
10/05/98,104.7,57.25
10/06/98,108.3,59.5
10/07/98,93.44,58.75
10/08/98,86.19,56.81
10/09/98,91.19,59.13
10/12/98,93.19,60.81
10/13/98,91.38,59.94
10/14/98,93.5,61.13
10/15/98,97.06,64.63
10/16/98,99.44,66.63
10/19/98,105.8,68.75
10/20/98,106.8,65.56
10/21/98,110,64.94
10/22/98,114.7,66.81
10/23/98,116.1,68
10/26/98,121.4,65.38
10/27/98,116.3,63.25
10/28/98,117.1,64.81
10/29/98,126.5,67.44
10/30/98,126.4,69.06
11/02/98,131,68.81
11/03/98,126.1,66.88
11/04/98,129.8,68.06
11/05/98,128.5,70.25
11/06/98,124.6,71.44
11/09/98,126.9,70.56
11/10/98,131.8,70.19
11/11/98,126.6,69.75
11/12/98,131,68.75
11/13/98,127.8,69.69
11/16/98,126.3,71.06
11/17/98,148.5,71.63
11/18/98,164,73.38
11/19/98,153.3,73
11/20/98,180.6,73.75
11/23/98,218,74.94
11/24/98,214.5,74.75
11/25/98,210.31,75.75
11/27/98,216.6,76.56
11/30/98,192,75.31
12/01/98,209.5,74.88
12/02/98,199.5,74.06
12/03/98,189.5,71.5
12/04/98,188.5,73.19
12/07/98,191,74.63
12/08/98,204.1,76
12/09/98,216.3,76.75
12/10/98,213.1,75.75
12/11/98,223,76.31
12/14/98,222.3,74.81
12/15/98,242.8,76.81
12/16/98,289,75.69
12/17/98,276.8,76.13
12/18/98,286.7,77.75
12/21/98,318.8,78.63
12/22/98,322.4,78.31
12/23/98,325,81.44
12/24/98,324.8,81.13
12/28/98,351.9,79.88
12/29/98,332.3,81.94
12/30/98,321.3,80.75
12/31/98,321.3,81.44
01/04/99,354.9,80.63
01/05/99,124.6,81.25
01/06/99,138,82.63
01/07/99,158.9,84.13
01/08/99,160.3,83.5
01/11/99,184.6,81.63
01/12/99,163.4,80.38
01/13/99,148,80.63
01/14/99,138,79.75
01/15/99,140.4,80.13
01/19/99,139.8,80.06
01/20/99,113,80.25
01/21/99,106,79.06
01/22/99,123,82
01/25/99,112.4,82
01/26/99,115.1,83.56
01/27/99,125.6,85.19
01/28/99,122.9,85.13
01/29/99,116.9,86
02/01/99,115.9,84.5
02/02/99,110.3,83.63
02/03/99,125.8,85.75
02/04/99,118,83.75
02/05/99,115.9,84.25
02/08/99,109.1,85.44
02/09/99,100,82.13
02/10/99,97.44,80.94
02/11/99,109.9,85.81
02/12/99,104.5,84.38
02/16/99,98.63,87.56
02/17/99,93.5,85.06
02/18/99,89.5,85.38
02/19/99,101.9,84.75
02/22/99,106.5,88.25
02/23/99,115.2,87.5
02/24/99,110.9,84.56
02/25/99,125,85
02/26/99,128.1,86.13
03/01/99,133,85.88
03/02/99,121.3,85.44
03/03/99,123.5,87.38
03/04/99,120.1,89.38
03/05/99,121.5,93.25
03/08/99,122.2,93.44
03/09/99,129.9,94
03/10/99,137.1,93.56
03/11/99,134.9,95.31
03/12/99,133.3,96.38
03/15/99,138.9,96.75
03/16/99,133.8,96
03/17/99,131,96.38
03/18/99,138.4,98.19
03/19/99,135.1,94.75
03/22/99,132,93.31
03/23/99,119.4,90.5
03/24/99,123.7,89
03/25/99,139.9,91.88
03/26/99,139.1,91.56
03/29/99,149.6,95
03/30/99,164.7,95
03/31/99,172.2,92.19
04/01/99,171,93.25
04/05/99,186.5,95.38
04/06/99,182.9,95.69
04/07/99,175.8,97.5
04/08/99,179,102.3
04/09/99,182.9,102.8
04/12/99,184.4,104.9
04/13/99,178.4,104.6
04/14/99,168,98.63
04/15/99,167.3,97.75
04/16/99,190,95
04/19/99,158.9,89.75
04/20/99,172,47.75
04/21/99,179.3,48.75
04/22/99,190.1,50.06
04/23/99,210.1,50.94
04/26/99,207.2,50.94
04/27/99,205.9,50.75
04/28/99,193.5,49.19
04/29/99,168.3,46.88
04/30/99,172.1,46
05/03/99,150.9,46.13
05/04/99,143,44
05/05/99,146.5,45.06
05/06/99,137.4,42.88
05/07/99,136.4,44.75
05/10/99,146.9,45.19
05/11/99,148.4,47.31
05/12/99,142.9,46.56
05/13/99,136,47
05/14/99,132.4,46.38
05/17/99,137.6,45.69
05/18/99,132.6,46.44
05/19/99,139.6,45.69
05/20/99,130.8,44.5
05/21/99,128.6,43.25
05/24/99,117.5,42.81
05/25/99,111.6,42.38
05/26/99,120.9,42.94
05/27/99,114.6,41.13
05/28/99,118.8,42.63
06/01/99,105.8,43.44
06/02/99,112.1,44.38
06/03/99,105.1,45.5
06/04/99,108.4,46
06/07/99,117.4,45.75
06/08/99,111.6,44.38
06/09/99,114,44.13
06/10/99,115.9,43.13
06/11/99,106.3,42.75
06/14/99,92,43.13
06/15/99,96.5,42.5
06/16/99,111.7,44.38
06/17/99,112.9,43.63
06/18/99,111.3,43.75
06/21/99,123.5,45.06
06/22/99,117.5,44.94
06/23/99,117.8,44.38
06/24/99,113.6,43.31
06/25/99,110.2,43.44
06/28/99,110.7,45.56
06/29/99,116.1,46.81
06/30/99,125.1,48.25
07/01/99,122.4,47.75
07/02/99,124.1,48.75
07/06/99,126.9,49.19
07/07/99,121.9,48
07/08/99,125.4,47
07/09/99,125.5,47.94
07/12/99,117.4,47.44
07/13/99,126.1,47.56
07/14/99,135,47.63
07/15/99,139.6,47.5
07/16/99,137.6,48
07/19/99,131.7,48.06
07/20/99,120.1,46.88
07/21/99,125.4,45.44
07/22/99,106.8,45.19
07/23/99,114.6,44.94
07/26/99,105.9,45.63
07/27/99,101,45.56
07/28/99,105.8,45.06
07/29/99,101.6,44
07/30/99,100.1,42.25
08/02/99,94,42.38
08/03/99,94.88,41.94
08/04/99,88.44,40.94
08/05/99,97.25,41.38
08/06/99,89.56,41.25
08/09/99,85.5,40.19
08/10/99,91,42.88
08/11/99,90.94,43.38
08/12/99,91.75,44.38
08/13/99,97.44,44.81
08/16/99,98.31,46
08/17/99,109.3,46.94
08/18/99,113.1,46.38
08/19/99,105.1,45.75
08/20/99,113.3,46.69
08/23/99,118.4,47.75
08/24/99,123.1,47.75
08/25/99,132.9,48.38
08/26/99,128.6,47.31
08/27/99,128.5,46.69
08/30/99,119.3,45.5
08/31/99,124.4,44.31
09/01/99,119.1,45
09/02/99,60.06,45.69
09/03/99,62.44,47.56
09/07/99,62.94,46.25
09/08/99,61.44,47.13
09/09/99,63.63,47.5
09/10/99,66.5,47.69
09/13/99,63.31,48
09/14/99,66,46.94
09/15/99,65.56,45.5
09/16/99,65.25,45.31
09/17/99,63.81,46.63
09/20/99,62.75,46.19
09/21/99,62.25,45.75
09/22/99,66,47.25
09/23/99,62.25,46.69
09/24/99,65,46.5
09/27/99,62.56,46.31
09/28/99,65.88,46.94
09/29/99,80.75,45.63
09/30/99,79.94,47.56
10/01/99,77.25,48.31
10/04/99,77.06,50.31
10/05/99,78.44,51.25
10/06/99,82.44,51.38
10/07/99,87.31,51.31
10/08/99,89.25,55.38
10/11/99,88.38,53.94
10/12/99,84.94,53.88
10/13/99,79.94,51.31
10/14/99,79.59,52.38
10/15/99,75.06,50.81
10/18/99,74.06,52.13
10/19/99,76.63,52.69
10/20/99,80.5,54.81
10/21/99,80.75,54.88
10/22/99,78.63,57.06
10/25/99,82.75,55.94
10/26/99,81.25,53.25
10/27/99,75.94,53
10/28/99,71,55.75
10/29/99,70.63,56.31
11/01/99,69.13,56.25
11/02/99,66.44,56.13
11/03/99,65.81,55.75
11/04/99,63.06,56
11/05/99,64.94,58.06
11/08/99,78,58.5
11/09/99,70.81,58
11/10/99,72,57.13
11/11/99,73,57.44
11/12/99,74.94,58.88
11/15/99,73.5,58.94
11/16/99,78.94,59.88
11/17/99,76.5,58.88
11/18/99,77.94,59.38
11/19/99,77.94,58.13
11/22/99,80.5,56.75
11/23/99,81.75,56
11/24/99,87.25,57.94
11/26/99,93.13,58.21
11/29/99,90.44,59
11/30/99,85.06,57.5
12/01/99,85,58.57
12/02/99,89.06,57.67
12/03/99,86.56,59.06
12/06/99,87.38,59.58
12/07/99,86.06,58
12/08/99,88,58.65
12/09/99,103.6,62.25
12/10/99,106.7,63.25
12/13/99,102.5,68
12/14/99,95.63,67.06
12/15/99,96.5,66.01
12/16/99,94.88,68.63
12/17/99,94.06,65
12/20/99,97,64.28
12/21/99,99.88,64.81
12/22/99,97.69,65.69
12/23/99,90,67.38
12/27/99,81.13,69.44
12/28/99,82.31,69.31
12/29/99,83.5,67.38
12/30/99,79.06,67.81
12/31/99,76.13,69.13
01/03/00,89.38,66.81
01/04/00,81.94,64.31
01/05/00,71.75,62.81
01/06/00,65.56,63.69
01/07/00,69.56,68.5
01/10/00,69.19,67.25
01/11/00,66.75,66.25
01/12/00,63.56,65.06
01/13/00,65.94,65.13
01/14/00,64.25,64.5
01/18/00,64.13,65.56
01/19/00,66.81,64.06
01/20/00,64.75,63.38
01/21/00,62.06,62.44
01/24/00,70.13,59.38
01/25/00,69.25,61.13
01/26/00,64.81,61.94
01/27/00,66.94,59.13
01/28/00,61.69,55.13
01/31/00,64.56,54.75
02/01/00,67.44,58.69
02/02/00,69.44,58.38
02/03/00,84.19,58.38
02/04/00,78.56,56.31
02/07/00,75,55.75
02/08/00,83.13,59.5
02/09/00,80.25,57.81
02/10/00,76.19,57
02/11/00,76.19,56.06
02/14/00,74.44,58.88
02/15/00,73.81,58
02/16/00,70.69,52.75
02/17/00,69,48.38
02/18/00,64.75,47.75
02/22/00,63.56,48.13
02/23/00,70.44,47
02/24/00,68.44,47.88
02/25/00,69.13,44.5
02/28/00,65.75,46.19
02/29/00,68.88,48.75
03/01/00,65.88,49
03/02/00,62.56,50.56
03/03/00,62.5,52.63
03/06/00,63.94,50.5
03/07/00,63.5,47.56
03/08/00,63.63,48.31
03/09/00,68.81,48.94
03/10/00,66.88,47.94
03/13/00,65.31,47.69
03/14/00,65.63,47.75
03/15/00,63.75,51.5
03/16/00,66.25,54.63
03/17/00,64.81,55.75
03/20/00,64.19,55.13
03/21/00,72.38,56.63
03/22/00,70.69,55.38
03/23/00,67.69,54
03/24/00,67.69,55.5
03/27/00,73.13,55.44
03/28/00,70.13,54.5
03/29/00,66.25,58.75
03/30/00,66.5,59
03/31/00,67,56.5
04/03/00,63.56,61.19
04/04/00,63.94,60
04/05/00,62.19,58.25
04/06/00,64.25,61.13
04/07/00,67.56,61.5
04/10/00,63.38,63.56
04/11/00,63.38,63.38
04/12/00,56.38,62.44
04/13/00,48,60.06
04/14/00,46.88,55
04/17/00,47.06,54
04/18/00,54.94,53.88
04/19/00,53.44,54.94
04/20/00,52.38,57.69
04/24/00,49.81,58.88
04/25/00,52.44,59.69
04/26/00,53.5,58.75
04/27/00,52.88,57.69
04/28/00,55.19,55.38
05/01/00,59.94,57.94
05/02/00,56.13,57.63
05/03/00,54.13,53.44
05/04/00,55.06,51
05/05/00,58.5,51.31
05/08/00,56.02,52.38
05/09/00,56.25,53
05/10/00,53.31,56.69
05/11/00,54.88,56
05/12/00,53.75,56.81
05/15/00,56.06,57
05/16/00,59.06,58
05/17/00,61,56.38
05/18/00,55.38,57.94
05/19/00,52.63,57.06
05/22/00,51.88,57.38
05/23/00,46.69,57.19
05/24/00,48.56,56.88
05/25/00,45.5,55
05/26/00,46.5,54
05/30/00,51.75,53.38
05/31/00,49.94,57.63
06/01/00,50.19,57
06/02/00,57.88,59.06
06/05/00,54.5,59.31
06/06/00,50.56,58.25
06/07/00,51.81,57.88
06/08/00,51.88,56.88
06/09/00,52.19,54
06/12/00,48.44,52.75
06/13/00,49,55
06/14/00,46.44,55.13
06/15/00,46.31,55.5
06/16/00,46,53.88
06/19/00,45.31,54.38
06/20/00,46.13,54.5
06/21/00,46.06,53.94
06/22/00,42,52.5
06/23/00,33.88,53.75
06/26/00,33.94,53.75
06/27/00,36.5,56.81
06/28/00,37.88,55.98
06/29/00,37.13,54.13
06/30/00,36.31,57.63
07/03/00,37,56.88
07/05/00,36.5,57
07/06/00,36.06,57.5
07/07/00,36.13,61.56
07/10/00,35.06,61.25
07/11/00,33.13,62
07/12/00,35.06,61
07/13/00,35,59.13
07/14/00,42.63,59.5
07/17/00,41.13,60.72
07/18/00,41.75,60.06
07/19/00,40.88,60
07/20/00,40.31,60
07/21/00,41.13,59.69
07/24/00,38.75,57.44
07/25/00,37.63,59.19
07/26/00,36.06,58.75
07/27/00,31.38,60.06
07/28/00,30,58.69
07/31/00,30.13,55.25
08/01/00,30.25,54.5
08/02/00,30.81,54.06
08/03/00,31.5,53.88
08/04/00,32.5,52.94
08/07/00,33.81,55.13
08/08/00,32.94,57.63
08/09/00,30.88,53.63
08/10/00,30.44,51
08/11/00,33.69,52.13
08/14/00,34.88,52.88
08/15/00,37.56,51.75
08/16/00,38.75,49.94
08/17/00,38.25,50
08/18/00,39,50.88
08/21/00,37.5,49
08/22/00,36.5,49.13
08/23/00,38.81,49.13
08/24/00,39.38,49.44
08/25/00,39.94,50.5
08/28/00,39.13,49.5
08/29/00,39.63,49.44
08/30/00,42.94,48.44
08/31/00,41.5,47.63
09/01/00,41.5,48.75
09/05/00,45.69,49.75
09/06/00,45.88,50
09/07/00,43.5,51
09/08/00,42.94,52.13
09/11/00,42.38,54.38
09/12/00,42.69,54
09/13/00,42.44,53.88
09/14/00,44.88,52.5
09/15/00,43.63,51.94
09/18/00,42.81,51.13
09/19/00,40.75,49.88
09/20/00,37.5,48.5
09/21/00,40.06,50
09/22/00,41.44,50.5
09/25/00,40.38,49
09/26/00,39.75,47.38
09/27/00,37.88,48.13
09/28/00,40,48.56
09/29/00,38.44,48.13
10/02/00,35.88,46.25
10/03/00,35.06,45.81
10/04/00,36,46.13
10/05/00,33.56,46.06
10/06/00,31.56,45.5
10/09/00,30.06,45.13
10/10/00,30.44,46.38
10/11/00,27.81,45.31
10/12/00,25.13,44.13
10/13/00,28.44,45
10/16/00,24.31,47.31
10/17/00,21.94,46
10/18/00,25.13,46.75
10/19/00,27.75,47.81
10/20/00,30.81,46.56
10/23/00,30,47.31
10/24/00,29.56,48.38
10/25/00,31.88,45.94
10/26/00,36.88,43.44
10/27/00,35.63,43.25
10/30/00,32.88,43.75
10/31/00,36.63,45.38
11/01/00,37.38,46.69
11/02/00,39.75,48.44
11/03/00,37.56,47.38
11/06/00,36.56,49
11/07/00,36.94,48.94
11/08/00,33.88,48.75
11/09/00,31.25,47.13
11/10/00,30.06,43.69
11/13/00,27.81,45.31
11/14/00,28.94,46.88
11/15/00,29.5,49
11/16/00,27.81,48.25
11/17/00,27.44,48.56
11/20/00,25.81,47.88
11/21/00,24.25,47.13
11/22/00,25.19,45.88
11/24/00,28.94,45.19
11/27/00,28,49.31
11/28/00,25.03,49
11/29/00,26.94,51.88
11/30/00,24.69,52.19
12/01/00,24.63,51.19
12/04/00,26.56,53.81
12/05/00,25.38,55.25
12/06/00,23.63,54.81
12/07/00,21.38,55
12/08/00,23.44,54.44
12/11/00,25.31,51.38
12/12/00,25.88,51.88
12/13/00,23.75,50.31
12/14/00,22.69,51.06
12/15/00,22.88,49.88
12/18/00,19.88,50.56
12/19/00,18.25,48
12/20/00,16.69,48.94
12/21/00,15.19,51.75
12/22/00,15.56,52.5
12/26/00,16.94,50.62
12/27/00,16.88,52.56
12/28/00,17.38,52.94
12/29/00,15.56,53.13
01/02/01,13.88,53.88
01/03/01,17.56,58.44
01/04/01,15.5,56.19
01/05/01,14.56,53.94
01/08/01,14.94,53.94
01/09/01,16.38,52.75
01/10/01,16.5,51.69
01/11/01,17,51.94
01/12/01,17.69,52.94
01/16/01,18.06,54.69
01/17/01,18.38,53.94
01/18/01,19.5,53.06
01/19/01,19.94,50.81
01/22/01,18.5,52.56
01/23/01,18.95,53.38
01/24/01,21.88,53.5
01/25/01,19,54
